"ORDEN","CLASE","MARCA","MODELO","FECHA MATRICULA/RADICACION","AÑO","MES","DIA"
"1","MOTOCICLETA","YAMAHA","2000","02/02/2000","2000","02.febrero","02.miércoles"
"2","MOTOCICLETA","SUZUKI","2000","23/02/2000","2000","02.febrero","23.miércoles"
"3","MOTOCICLETA","AUTECO KAWASAKI","2000","25/09/2000","2000","09.septiembre","25.lunes"
"4","AUTOMOVIL","RENAULT","1988","18/09/2000","2000","09.septiembre","18.lunes"
"5","CAMIONETA","CHEVROLET","1988","24/03/2000","2000","03.marzo","24.viernes"
"6","CAMIONETA","ACCURO","1992","15/06/2000","2000","06.junio","15.jueves"
"7","CAMPERO","LAND ROVER","1968","01/09/2000","2000","09.septiembre","01.viernes"
"8","CAMIONETA","DODGE","1973","17/05/2000","2000","05.mayo","17.miércoles"
"9","MOTOCICLETA","PIAGGIO","1999","01/11/2000","2000","11.noviembre","01.miércoles"
"10","MOTOCICLETA","SUZUKI","2000","29/08/2000","2000","08.agosto","29.martes"
"11","AUTOMOVIL","CHEVROLET","2001","04/12/2000","2000","12.diciembre","04.lunes"
"12","AUTOMOVIL","MAZDA","1992","08/06/2000","2000","06.junio","08.jueves"
"13","AUTOMOVIL","MAZDA","1994","27/12/2000","2000","12.diciembre","27.miércoles"
"14","CAMIONETA","MAZDA","2000","02/08/2000","2000","08.agosto","02.miércoles"
"15","MOTOCICLETA","YAMAHA","2000","05/03/2000","2000","03.marzo","05.domingo"
"16","MOTOCICLETA","YAMAHA","2000","03/01/2000","2000","01.enero","03.lunes"
"17","VOLQUETA","INTERNATIONAL","1972","15/03/2000","2000","03.marzo","15.miércoles"
"18","CAMPERO","TOYOTA","1993","01/02/2000","2000","02.febrero","01.martes"
"19","VOLQUETA","CHEVROLET","1987","30/03/2000","2000","03.marzo","30.jueves"
"20","MOTOCICLETA","HONDA","2000","04/04/2000","2000","04.abril","04.martes"
"21","CAMIONETA","CHEVROLET","1988","07/06/2000","2000","06.junio","07.miércoles"
"22","AUTOMOVIL","MAZDA","1992","16/06/2000","2000","06.junio","16.viernes"
"23","MOTOCICLETA","HONDA","2000","04/10/2000","2000","10.octubre","04.miércoles"
"24","AUTOMOVIL","CHEVROLET","2000","24/02/2000","2000","02.febrero","24.jueves"
"25","AUTOMOVIL","MAZDA","2000","05/01/2000","2000","01.enero","05.miércoles"
"26","MOTOCICLETA","HONDA","2000","20/09/2000","2000","09.septiembre","20.miércoles"
"27","MOTOCICLETA","SUZUKI","1999","13/01/2000","2000","01.enero","13.jueves"
"28","MOTOCICLETA","SUZUKI","2000","07/03/2000","2000","03.marzo","07.martes"
"29","AUTOMOVIL","FORD","2000","25/05/2000","2000","05.mayo","25.jueves"
"30","MOTOCICLETA","YAMAHA","2000","17/02/2000","2000","02.febrero","17.jueves"
"31","MOTOCICLETA","KAWASAKI","1999","21/01/2000","2000","01.enero","21.viernes"
"32","MOTOCICLETA","HONDA","2000","13/01/2000","2000","01.enero","13.jueves"
"33","AUTOMOVIL","MAZDA","2000","10/02/2000","2000","02.febrero","10.jueves"
"34","AUTOMOVIL","CHEVROLET","2000","12/10/2000","2000","10.octubre","12.jueves"
"35","AUTOMOVIL","FORD","2000","23/10/2000","2000","10.octubre","23.lunes"
"36","MOTOCICLETA","YAMAHA","2000","09/05/2000","2000","05.mayo","09.martes"
"37","AUTOMOVIL","CHEVROLET","1995","27/07/2000","2000","07.julio","27.jueves"
"38","MOTOCICLETA","SUZUKI","2000","18/05/2000","2000","05.mayo","18.jueves"
"39","AUTOMOVIL","RENAULT","2000","17/04/2000","2000","04.abril","17.lunes"
"40","AUTOMOVIL","VOLKSWAGEN","1995","07/11/2000","2000","11.noviembre","07.martes"
"41","MOTOCICLETA","SUZUKI","2001","04/10/2000","2000","10.octubre","04.miércoles"
"42","MOTOCICLETA","SUZUKI","2000","01/11/2000","2000","11.noviembre","01.miércoles"
"43","MOTOCICLETA","SUZUKI","2000","18/08/2000","2000","08.agosto","18.viernes"
"44","AUTOMOVIL","MAZDA","1996","07/09/2000","2000","09.septiembre","07.jueves"
"45","MOTOCICLETA","SUZUKI","2000","27/01/2000","2000","01.enero","27.jueves"
"46","MOTOCICLETA","SUZUKI","2001","06/10/2000","2000","10.octubre","06.viernes"
"47","MOTOCICLETA","YAMAHA","2000","03/04/2000","2000","04.abril","03.lunes"
"48","MOTOCICLETA","SUZUKI","2000","03/08/2000","2000","08.agosto","03.jueves"
"49","CAMPERO","TOYOTA","1995","30/10/2000","2000","10.octubre","30.lunes"
"50","AUTOMOVIL","DAEWOO","2001","22/12/2000","2000","12.diciembre","22.viernes"
"51","MOTOCICLETA","HONDA","2001","11/08/2000","2000","08.agosto","11.viernes"
"52","BUSETA","CHEVROLET","2000","23/02/2000","2000","02.febrero","23.miércoles"
"53","MOTOCICLETA","SUZUKI","2000","24/03/2000","2000","03.marzo","24.viernes"
"54","MOTOCICLETA","SUZUKI","2000","24/05/2000","2000","05.mayo","24.miércoles"
"55","AUTOMOVIL","CHEVROLET","2000","14/02/2000","2000","02.febrero","14.lunes"
"56","MOTOCICLETA","YAMAHA","2000","24/10/2000","2000","10.octubre","24.martes"
"57","AUTOMOVIL","CHEVROLET","1989","17/05/2000","2000","05.mayo","17.miércoles"
"58","MOTOCICLETA","HONDA","2001","28/12/2000","2000","12.diciembre","28.jueves"
"59","MOTOCICLETA","SUZUKI","2000","21/07/2000","2000","07.julio","21.viernes"
"60","MOTOCICLETA","YAMAHA","2000","21/09/2000","2000","09.septiembre","21.jueves"
"61","AUTOMOVIL","CHEVROLET","2000","18/04/2000","2000","04.abril","18.martes"
"62","MOTOCICLETA","YAMAHA","2000","08/02/2000","2000","02.febrero","08.martes"
"63","MOTOCICLETA","HONDA","2001","10/08/2000","2000","08.agosto","10.jueves"
"64","MOTOCICLETA","SUZUKI","2000","14/03/2000","2000","03.marzo","14.martes"
"65","CAMPERO","CHEVROLET","1993","13/06/2000","2000","06.junio","13.martes"
"66","MOTOCICLETA","YAMAHA","2000","31/08/2000","2000","08.agosto","31.jueves"
"67","CAMIONETA","TOYOTA","1996","30/10/2000","2000","10.octubre","30.lunes"
"68","MOTOCICLETA","HONDA","2001","06/10/2000","2000","10.octubre","06.viernes"
"69","MOTOCICLETA","HONDA","1996","04/10/2000","2000","10.octubre","04.miércoles"
"70","MOTOCICLETA","SUZUKI","2001","24/10/2000","2000","10.octubre","24.martes"
"71","AUTOMOVIL","CHEVROLET","1992","05/01/2000","2000","01.enero","05.miércoles"
"72","MOTOCICLETA","SUZUKI","1999","06/01/2000","2000","01.enero","06.jueves"
"73","MOTOCICLETA","SUZUKI","2000","26/05/2000","2000","05.mayo","26.viernes"
"74","MOTOCICLETA","YAMAHA","2000","10/04/2000","2000","04.abril","10.lunes"
"75","AUTOMOVIL","CHEVROLET","2000","09/02/2000","2000","02.febrero","09.miércoles"
"76","AUTOMOVIL","CHEVROLET","2000","05/01/2000","2000","01.enero","05.miércoles"
"77","AUTOMOVIL","RENAULT","2001","23/10/2000","2000","10.octubre","23.lunes"
"78","CAMION","MAZDA","2000","13/06/2000","2000","06.junio","13.martes"
"79","AUTOMOVIL","MAZDA","1990","31/10/2000","2000","10.octubre","31.martes"
"80","MOTOCICLETA","HONDA","2000","25/07/2000","2000","07.julio","25.martes"
"81","MOTOCICLETA","YAMAHA","1999","23/02/2000","2000","02.febrero","23.miércoles"
